Model,No-PCA Test Acc,No-PCA Test F1,No-PCA CV Acc,With-PCA Test Acc,With-PCA Test F1,With-PCA CV Acc
SVM,0.9207383279044516,0.8976157082748948,0.9355978260869564,0.9272529858849077,0.9057665260196905,0.9331521739130435
Naive Bayes,0.8327904451682954,0.8188235294117647,0.8149456521739131,0.8338762214983714,0.8122699386503067,0.8046195652173912
KNN,0.9239956568946797,0.9033149171270718,0.9214673913043478,0.9218241042345277,0.9,0.9206521739130435
Logistic Regression,0.9261672095548317,0.9047619047619048,0.9244565217391305,0.9294245385450597,0.9095966620305981,0.9230978260869567
Decision Tree,0.9087947882736156,0.8823529411764706,0.9222826086956522,0.8762214983713354,0.8496042216358839,0.8875
Random Forest,0.9424538545059717,0.92524682651622,0.9529891304347826,0.9196525515743756,0.8966480446927374,0.9317934782608696
AdaBoost,0.9272529858849077,0.9057665260196905,0.9355978260869566,0.8957654723127035,0.864406779661017,0.9046195652173912
Gradient Boosting,0.9391965255157437,0.9215686274509803,0.9459239130434783,0.9153094462540716,0.8916666666666667,0.926358695652174
XGBoost,0.9402823018458197,0.9243466299862448,0.9554347826086957,0.9272529858849077,0.9075862068965517,0.9388586956521738
Stacking,0.9294245385450597,0.9100968188105117,0.9407608695652174,0.9261672095548317,0.9042253521126761,0.9323369565217391
