model,best_params,cv_acc,test_acc,test_f1
SVM,{'C': 10},0.9290760869565217,0.9196525515743756,0.8966480446927374
Naive Bayes,{'var_smoothing': 1e-09},0.7260869565217392,0.7307274701411509,0.7372881355932204
KNN,"{'n_neighbors': 11, 'weights': 'distance'}",0.9296195652173912,0.9153094462540716,0.8940217391304348
Logistic Regression,{'C': 0.1},0.9048913043478262,0.9022801302931596,0.8714285714285714
Decision Tree,{'max_depth': 10},0.8951086956521739,0.8805646036916395,0.8517520215633423
Random Forest,"{'max_depth': None, 'n_estimators': 100}",0.9315217391304348,0.9229098805646037,0.900976290097629
AdaBoost,{'n_estimators': 100},0.9024456521739129,0.8914223669923995,0.8603351955307262
Gradient Boosting,{'n_estimators': 100},0.9220108695652174,0.9098805646036916,0.8855172413793103
XGBoost,"{'learning_rate': 0.3, 'n_estimators': 50}",0.9353260869565219,0.9142236699239956,0.8907330567081605
Stacking,{'final_estimator__C': 10},0.9247282608695653,0.9131378935939196,0.8898071625344353
