factor,value,mean,max,min,count
activation,relu,0.4529296875,0.763671875,0.015625,60
activation,sigmoid,0.3956705729166667,0.77734375,0.015625,60
activation,tanh,0.472265625,0.7734375,0.015625,60
cost,CE,0.5709201388888889,0.77734375,0.015625,90
cost,MSE,0.30965711805555557,0.763671875,0.015625,90
optimizer,Adam,0.5442346643518519,0.77734375,0.015625,54
optimizer,GD,0.12293836805555555,0.630859375,0.015625,18
optimizer,SGD,0.3478732638888889,0.771484375,0.017578125,54
optimizer,SGD+momentum,0.5345413773148148,0.76953125,0.017578125,54
lr,0.001,0.3680338541666667,0.77734375,0.015625,60
lr,0.01,0.48196614583333336,0.77734375,0.015625,60
lr,0.1,0.4708658854166667,0.771484375,0.015625,60
batch,32,0.5261501736111112,0.771484375,0.015625,54
batch,128,0.48744936342592593,0.7734375,0.015625,54
batch,512,0.41304976851851855,0.77734375,0.015625,54
