activation,cost,optimizer,lr,batch,train_acc,val_acc,best_val_acc,best_epoch,final_train_loss,seconds
relu,CE,GD,0.001,2386,0.028918692842125893,0.0234375,0.0234375,8,4.118859,0.1407218000094872
relu,CE,GD,0.01,2386,0.08340318500995636,0.08203125,0.08203125,89,3.9921482,0.11754460001247935
relu,CE,GD,0.1,2386,0.6823135018348694,0.630859375,0.6308594,100,1.7761601,0.11460760000045411
relu,CE,SGD,0.001,32,0.6366303563117981,0.595703125,0.5957031,100,2.3165543,4.500074500014307
relu,CE,SGD,0.001,128,0.19069573283195496,0.1875,0.1875,100,3.837339,1.192893900006311
relu,CE,SGD,0.001,512,0.05113160237669945,0.04296875,0.04296875,95,4.06429,0.3697382000100333
relu,CE,SGD,0.01,32,0.8839061260223389,0.75,0.7558594,87,0.42215517,4.637605500000063
relu,CE,SGD,0.01,128,0.7632020115852356,0.69921875,0.69921875,100,1.0084523,1.2921509000007063
relu,CE,SGD,0.01,512,0.5037720203399658,0.474609375,0.4765625,99,3.0447803,0.44065959998988546
relu,CE,SGD,0.1,32,0.9941324591636658,0.759765625,0.76953125,62,0.024276422,4.776832400006242
relu,CE,SGD,0.1,128,0.9715003967285156,0.763671875,0.7792969,92,0.15204579,1.1861669000063557
relu,CE,SGD,0.1,512,0.8428332209587097,0.73828125,0.7441406,95,0.5682022,0.3523783000127878
relu,CE,SGD+momentum,0.001,32,0.8889354467391968,0.75,0.7597656,98,0.42279705,4.712557199993171
relu,CE,SGD+momentum,0.001,128,0.7627829313278198,0.68359375,0.69140625,98,1.013854,1.3146501000155695
relu,CE,SGD+momentum,0.001,512,0.4920368790626526,0.4609375,0.4609375,100,3.0983126,0.40080450000823475
relu,CE,SGD+momentum,0.01,32,0.9962279796600342,0.763671875,0.7734375,46,0.020066267,4.983074699994177
relu,CE,SGD+momentum,0.01,128,0.9715003967285156,0.755859375,0.7714844,55,0.15101177,1.3430822999798693
relu,CE,SGD+momentum,0.01,512,0.8424140810966492,0.73828125,0.7441406,99,0.5680663,0.3897253999894019
relu,CE,SGD+momentum,0.1,32,0.7854149341583252,0.591796875,0.6347656,54,1.0286081,4.957431499991799
relu,CE,SGD+momentum,0.1,128,0.9979044198989868,0.75390625,0.7734375,14,0.007424747,1.2962004999862984
relu,CE,SGD+momentum,0.1,512,0.9962279796600342,0.76171875,0.7734375,46,0.034490548,0.38179770001443103
relu,CE,Adam,0.001,32,0.9966471195220947,0.73046875,0.78125,37,0.012234443,5.882053199980874
relu,CE,Adam,0.001,128,0.9966471195220947,0.748046875,0.77734375,27,0.016599441,1.4907212000107393
relu,CE,Adam,0.001,512,0.9924560189247131,0.763671875,0.76953125,70,0.07200974,0.4417525999888312
relu,CE,Adam,0.01,32,0.9958088994026184,0.720703125,0.7324219,97,0.008882907,5.772240599995712
relu,CE,Adam,0.01,128,0.9983235597610474,0.712890625,0.7597656,43,0.00392837,1.5200893000001088
relu,CE,Adam,0.01,512,0.9979044198989868,0.75390625,0.7734375,30,0.005646514,0.4334939999971539
relu,CE,Adam,0.1,32,0.016764460131525993,0.015625,0.02734375,1,4.1487494,5.49305409999215
relu,CE,Adam,0.1,128,0.031014250591397285,0.029296875,0.044921875,7,4.0566645,1.5147417999978643
relu,CE,Adam,0.1,512,0.6215423345565796,0.421875,0.43945312,98,1.1547172,0.4465092000027653
tanh,CE,GD,0.001,2386,0.019279127940535545,0.021484375,0.021484375,89,4.1114106,0.13535810000030324
tanh,CE,GD,0.01,2386,0.1760268211364746,0.177734375,0.17773438,100,3.8888986,0.12407660001190379
tanh,CE,GD,0.1,2386,0.6764459609985352,0.625,0.625,100,1.8823318,0.1365607000188902
tanh,CE,SGD,0.001,32,0.6257334351539612,0.587890625,0.58984375,99,2.2883701,4.795342099998379
tanh,CE,SGD,0.001,128,0.35666388273239136,0.353515625,0.35351562,99,3.6637678,1.2342214000236709
tanh,CE,SGD,0.001,512,0.06621961295604706,0.06640625,0.06640625,100,4.0111656,0.3770352000137791
tanh,CE,SGD,0.01,32,0.8700754642486572,0.755859375,0.7578125,81,0.50085324,4.728112700016936
tanh,CE,SGD,0.01,128,0.753143310546875,0.681640625,0.6855469,96,1.1752943,1.2205832000181545
tanh,CE,SGD,0.01,512,0.5490360260009766,0.517578125,0.5175781,100,2.843136,0.3641938999935519
tanh,CE,SGD,0.1,32,0.9970661997795105,0.771484375,0.7734375,33,0.03143802,4.588233299989952
tanh,CE,SGD,0.1,128,0.967309296131134,0.759765625,0.76953125,76,0.20374478,1.1760995999793522
tanh,CE,SGD,0.1,512,0.8373847603797913,0.73828125,0.7480469,98,0.6520455,0.41001290001440793
tanh,CE,SGD+momentum,0.001,32,0.8696563243865967,0.7578125,0.76171875,99,0.5014143,5.043098599999212
tanh,CE,SGD+momentum,0.001,128,0.753143310546875,0.6796875,0.6875,97,1.1799241,1.4346266000065953
tanh,CE,SGD+momentum,0.001,512,0.5406538248062134,0.509765625,0.5097656,100,2.8746004,0.38885290001053363
tanh,CE,SGD+momentum,0.01,32,0.9962279796600342,0.76171875,0.7792969,43,0.030366667,5.018771000002744
tanh,CE,SGD+momentum,0.01,128,0.9639564156532288,0.76171875,0.7675781,77,0.2049437,1.3866128000081517
tanh,CE,SGD+momentum,0.01,512,0.8336127400398254,0.74609375,0.74609375,99,0.65975523,0.40109520000987686
tanh,CE,SGD+momentum,0.1,32,0.9643755555152893,0.71875,0.75,91,0.13864681,5.160041700000875
tanh,CE,SGD+momentum,0.1,128,0.9970661997795105,0.763671875,0.77734375,25,0.011616594,1.346432399994228
tanh,CE,SGD+momentum,0.1,512,0.9941324591636658,0.767578125,0.7734375,41,0.053142283,0.473777200008044
tanh,CE,Adam,0.001,32,0.997485339641571,0.755859375,0.7753906,12,0.0075034616,5.752618400001666
tanh,CE,Adam,0.001,128,0.997485339641571,0.765625,0.78125,37,0.014919273,1.5326160000113305
tanh,CE,Adam,0.001,512,0.9941324591636658,0.7734375,0.78125,85,0.054234993,0.4556528000102844
tanh,CE,Adam,0.01,32,0.9312657117843628,0.6796875,0.7285156,78,0.27446795,5.8320198000001255
tanh,CE,Adam,0.01,128,0.9928750991821289,0.748046875,0.7714844,24,0.016327903,1.5103645999915898
tanh,CE,Adam,0.01,512,0.9995809197425842,0.763671875,0.78515625,12,0.0031245274,0.45418279999285005
tanh,CE,Adam,0.1,32,0.3968985676765442,0.373046875,0.42773438,94,12.518997,5.7666297999967355
tanh,CE,Adam,0.1,128,0.5352053642272949,0.501953125,0.51171875,94,4.685709,1.4634919000091031
tanh,CE,Adam,0.1,512,0.7179379463195801,0.58203125,0.6542969,67,1.2362434,0.464874500001315
sigmoid,CE,GD,0.001,2386,0.02053646370768547,0.015625,0.017578125,1,4.149008,0.13258850001147948
sigmoid,CE,GD,0.01,2386,0.033948030322790146,0.0390625,0.0390625,100,4.1124907,0.12712220000685193
sigmoid,CE,GD,0.1,2386,0.39606034755706787,0.373046875,0.37304688,100,3.9176621,0.12293390001286753
sigmoid,CE,SGD,0.001,32,0.3503772020339966,0.341796875,0.34570312,99,3.9813888,4.704290599998785
sigmoid,CE,SGD,0.001,128,0.07502095401287079,0.06640625,0.06640625,100,4.094166,1.3142972000059672
sigmoid,CE,SGD,0.001,512,0.02347024343907833,0.021484375,0.021484375,97,4.1274023,0.42639469998539425
sigmoid,CE,SGD,0.01,32,0.7099748849868774,0.677734375,0.6777344,100,1.479681,4.8539594000030775
sigmoid,CE,SGD,0.01,128,0.44593462347984314,0.421875,0.421875,100,3.5735059,1.293378300004406
sigmoid,CE,SGD,0.01,512,0.2623637914657593,0.248046875,0.25195312,98,4.0356507,0.3878802999970503
sigmoid,CE,SGD,0.1,32,0.9530594944953918,0.759765625,0.76953125,92,0.2398869,4.739181499986444
sigmoid,CE,SGD,0.1,128,0.80134117603302,0.748046875,0.7480469,100,0.75564355,1.2682120999961626
sigmoid,CE,SGD,0.1,512,0.6554903388023376,0.626953125,0.6269531,97,2.119604,0.3652609999990091
sigmoid,CE,SGD+momentum,0.001,32,0.7074601650238037,0.671875,0.67578125,99,1.4824961,4.79706020001322
sigmoid,CE,SGD+momentum,0.001,128,0.4400670528411865,0.416015625,0.41796875,96,3.5815384,1.2803905000037048
sigmoid,CE,SGD+momentum,0.001,512,0.26152557134628296,0.25,0.25,99,4.037706,0.38977770000929013
sigmoid,CE,SGD+momentum,0.01,32,0.9513830542564392,0.759765625,0.7714844,77,0.24063586,4.748349900008179
sigmoid,CE,SGD+momentum,0.01,128,0.8005029559135437,0.740234375,0.7421875,98,0.75877595,1.2204556000069715
sigmoid,CE,SGD+momentum,0.01,512,0.6395641565322876,0.62109375,0.62109375,100,2.184192,0.38369060002150945
sigmoid,CE,SGD+momentum,0.1,32,0.9966471195220947,0.76953125,0.7832031,37,0.012319883,4.758712700015167
sigmoid,CE,SGD+momentum,0.1,128,0.9920368790626526,0.76171875,0.7792969,81,0.06454973,1.2251931999926455
sigmoid,CE,SGD+momentum,0.1,512,0.9023470282554626,0.75,0.7636719,65,0.38274062,0.3797533999895677
sigmoid,CE,Adam,0.001,32,0.9970661997795105,0.771484375,0.7890625,46,0.010568893,5.643261299992446
sigmoid,CE,Adam,0.001,128,0.9937133193016052,0.7734375,0.7832031,97,0.06616991,1.5097685999935493
sigmoid,CE,Adam,0.001,512,0.9488683938980103,0.77734375,0.77734375,94,0.28182456,0.48773339999024756
sigmoid,CE,Adam,0.01,32,0.9740151166915894,0.689453125,0.7578125,20,0.076010205,5.6388597000041045
sigmoid,CE,Adam,0.01,128,0.9991617798805237,0.763671875,0.7949219,20,0.0038071633,1.4181465000147
sigmoid,CE,Adam,0.01,512,0.9995809197425842,0.77734375,0.7871094,20,0.0073001706,0.4290499000053387
sigmoid,CE,Adam,0.1,32,0.27158424258232117,0.26171875,0.29101562,90,3.0082538,5.575156699982472
sigmoid,CE,Adam,0.1,128,0.671835720539093,0.529296875,0.578125,80,1.0490805,1.502139599993825
sigmoid,CE,Adam,0.1,512,0.8440905213356018,0.587890625,0.6074219,97,0.48876247,0.42920860002050176
relu,MSE,GD,0.001,2386,0.021374685689806938,0.021484375,0.021484375,1,0.9840105,0.2019360999984201
relu,MSE,GD,0.01,2386,0.0243084654211998,0.0234375,0.0234375,20,0.983878,0.16861640001297928
relu,MSE,GD,0.1,2386,0.042749371379613876,0.033203125,0.033203125,80,0.9825031,0.1588136000209488
relu,MSE,SGD,0.001,32,0.040234703570604324,0.029296875,0.029296875,92,0.9828977,5.940204199985601
relu,MSE,SGD,0.001,128,0.028080468997359276,0.0234375,0.0234375,11,0.9837447,1.507026900013443
relu,MSE,SGD,0.001,512,0.022632019594311714,0.0234375,0.0234375,39,0.9839518,0.4562634000030812
relu,MSE,SGD,0.01,32,0.1487845778465271,0.150390625,0.15039062,100,0.94321615,5.918872399983229
relu,MSE,SGD,0.01,128,0.054484494030475616,0.05078125,0.05078125,87,0.98093677,1.6087167000223417
relu,MSE,SGD,0.01,512,0.03478625416755676,0.02734375,0.02734375,70,0.9832805,0.4489820000017062
relu,MSE,SGD,0.1,32,0.9501257538795471,0.759765625,0.7675781,78,0.07462264,6.188919300009729
relu,MSE,SGD,0.1,128,0.7652975916862488,0.673828125,0.6738281,100,0.37078002,1.7253519999794662
relu,MSE,SGD,0.1,512,0.08214585483074188,0.083984375,0.083984375,100,0.97080266,0.48886089998995885
relu,MSE,SGD+momentum,0.001,32,0.14752724766731262,0.15234375,0.15234375,100,0.94371116,6.596525599976303
relu,MSE,SGD+momentum,0.001,128,0.053646270185709,0.05078125,0.05078125,87,0.9809576,1.626387900003465
relu,MSE,SGD+momentum,0.001,512,0.03478625416755676,0.02734375,0.02734375,72,0.98329437,0.47674600000027567
relu,MSE,SGD+momentum,0.01,32,0.9509639739990234,0.75,0.765625,89,0.073737696,6.127676700009033
relu,MSE,SGD+momentum,0.01,128,0.7573344707489014,0.669921875,0.6699219,100,0.37958676,1.704999500012491
relu,MSE,SGD+momentum,0.01,512,0.08130762726068497,0.080078125,0.080078125,98,0.97186,0.502965799998492
relu,MSE,SGD+momentum,0.1,32,0.9819782376289368,0.73828125,0.75390625,96,0.026959252,6.5640174000000115
relu,MSE,SGD+momentum,0.1,128,0.9559932947158813,0.73046875,0.7558594,53,0.053490262,1.7250518999935593
relu,MSE,SGD+momentum,0.1,512,0.927493691444397,0.744140625,0.74609375,98,0.11968869,0.5842354000196792
relu,MSE,Adam,0.001,32,0.9823973178863525,0.7578125,0.7714844,24,0.02482426,8.084564899996622
relu,MSE,Adam,0.001,128,0.9773679971694946,0.732421875,0.7792969,46,0.03053202,2.0081332999980077
